iter	Passed	Remaining
1006	26667	238155
1007	26690	238098
1008	26711	238023
1009	26737	237993
1010	26762	237946
1011	26785	237889
1012	26808	237833
1013	26831	237779
1014	26862	237795
1015	26886	237746
1016	26918	237765
1017	26948	237775
1018	26972	237723
1019	26995	237668
1020	27019	237615
1021	27041	237553
1022	27065	237505
1023	27087	237438
1024	27114	237420
1025	27136	237354
1026	27158	237286
1027	27182	237234
1028	27206	237187
1029	27228	237129
1030	27251	237066
1031	27273	237006
1032	27295	236936
1033	27317	236876
1034	27340	236820
1035	27371	236835
1036	27403	236854
1037	27426	236796
1038	27448	236732
1039	27472	236687
1040	27497	236650
1041	27528	236663
1042	27551	236606
1043	27575	236555
1044	27598	236500
1045	27621	236449
1046	27645	236400
1047	27668	236345
1048	27691	236288
1049	27714	236235
1050	27737	236178
1051	27764	236155
1052	27792	236141
1053	27815	236091
1054	27839	236042
1055	27860	235967
1056	27883	235911
1057	27906	235860
1058	27929	235807
1059	27953	235760
1060	27977	235712
1061	28002	235671
1062	28026	235625
1063	28049	235573
1064	28073	235528
1065	28096	235469
1066	28119	235420
1067	28142	235368
1068	28166	235319
1069	28189	235267
1070	28214	235228
1071	28243	235220
1072	28266	235169
1073	28289	235115
1074	28311	235048
1075	28333	234990
1076	28357	234945
1077	28381	234895
1078	28404	234844
1079	28428	234794
1080	28453	234758
1081	28476	234710
1082	28497	234640
1083	28519	234574
1084	28543	234527
1085	28566	234480
1086	28589	234421
1087	28610	234355
1088	28633	234297
1089	28656	234251
1090	28680	234199
1091	28711	234210
1092	28733	234153
1093	28755	234095
1094	28777	234028
1095	28799	233972
1096	28821	233910
1097	28845	233863
1098	28867	233802
1099	28888	233731
1100	28910	233671
1101	28933	233618
1102	28960	233599
1103	28987	233578
1104	29011	233537
1105	29035	233491
1106	29059	233445
1107	29081	233383
1108	29103	233328
1109	29126	233273
1110	29149	233223
1111	29171	233162
1112	29194	233112
1113	29216	233049
1114	29240	233009
1115	29263	232953
1116	29285	232896
1117	29308	232845
1118	29331	232787
1119	29353	232735
1120	29377	232685
1121	29400	232637
1122	29423	232583
1123	29446	232536
1124	29469	232484
1125	29492	232431
1126	29514	232374
1127	29538	232328
1128	29561	232280
1129	29585	232232
1130	29610	232195
1131	29633	232144
1132	29659	232117
1133	29682	232068
1134	29706	232021
1135	29728	231964
1136	29750	231909
1137	29774	231860
1138	29798	231818
1139	29821	231767
1140	29844	231718
1141	29866	231664
1142	29889	231608
1143	29912	231558
1144	29935	231512
1145	29958	231462
1146	29980	231400
1147	30004	231356
1148	30026	231302
1149	30050	231256
1150	30072	231199
1151	30093	231137
1152	30116	231084
1153	30139	231036
1154	30163	230994
1155	30187	230947
1156	30209	230894
1157	30233	230853
1158	30257	230809
1159	30280	230757
1160	30304	230712
1161	30326	230661
1162	30350	230618
1163	30374	230571
1164	30399	230542
1165	30422	230493
1166	30445	230444
1167	30469	230399
1168	30493	230354
1169	30516	230308
1170	30540	230269
1171	30563	230214
1172	30586	230165
1173	30609	230116
1174	30632	230069
1175	30656	230026
1176	30678	229971
1177	30700	229911
1178	30722	229855
1179	30745	229810
1180	30768	229760
1181	30792	229719
1182	30815	229673
1183	30837	229612
1184	30858	229551
1185	30881	229504
1186	30906	229466
1187	30927	229401
1188	30949	229347
1189	30971	229295
1190	30995	229251
1191	31018	229207
1192	31042	229159
1193	31064	229109
1194	31086	229052
1195	31108	228995
1196	31130	228943
1197	31153	228892
1198	31175	228833
1199	31196	228775
1200	31218	228719
1201	31241	228670
1202	31264	228620
1203	31290	228595
1204	31315	228563
1205	31337	228505
1206	31360	228460
1207	31382	228408
1208	31404	228352
1209	31425	228288
1210	31447	228238
1211	31473	228208
1212	31495	228152
1213	31515	228088
1214	31538	228036
1215	31561	227988
1216	31584	227945
1217	31606	227891
1218	31629	227843
1219	31651	227789
1220	31673	227734
1221	31695	227678
1222	31716	227620
1223	31739	227572
1224	31763	227531
1225	31787	227492
1226	31812	227455
1227	31835	227408
1228	31858	227364
1229	31882	227321
1230	31905	227275
1231	31929	227239
1232	31953	227199
1233	31977	227157
1234	32001	227117
1235	32024	227074
1236	32054	227075
1237	32077	227027
1238	32099	226974
1239	32120	226916
1240	32144	226873
1241	32167	226829
1242	32191	226790
1243	32213	226735
1244	32236	226689
1245	32260	226653
1246	32283	226608
1247	32307	226569
1248	32331	226527
1249	32355	226487
1250	32379	226449
1251	32405	226421
1252	32427	226369
1253	32449	226318
1254	32473	226281
1255	32497	226242
1256	32520	226191
1257	32542	226144
1258	32565	226097
1259	32588	226052
1260	32612	226012
1261	32644	226030
1262	32669	225994
1263	32702	226018
1264	32729	226003
1265	32752	225957
1266	32774	225902
1267	32797	225857
1268	32819	225808
1269	32842	225761
1270	32864	225704
1271	32886	225652
1272	32907	225593
1273	32929	225544
1274	32951	225488
1275	32972	225430
1276	32995	225387
1277	33018	225343
1278	33040	225290
1279	33063	225242
1280	33085	225190
1281	33106	225133
1282	33127	225077
1283	33149	225025
1284	33170	224968
1285	33194	224925
1286	33215	224867
1287	33237	224814
1288	33263	224790
1289	33290	224774
1290	33312	224725
1291	33335	224676
1292	33356	224623
1293	33378	224572
1294	33402	224529
1295	33425	224488
1296	33448	224442
1297	33476	224431
1298	33499	224385
1299	33522	224341
1300	33543	224288
1301	33564	224230
1302	33587	224181
1303	33609	224130
1304	33631	224083
1305	33671	224147
1306	33694	224106
1307	33718	224065
1308	33741	224027
1309	33763	223975
1310	33786	223927
1311	33813	223912
1312	33837	223873
1313	33863	223848
1314	33888	223815
1315	33911	223775
1316	33935	223735
1317	33955	223676
1318	33976	223615
1319	33999	223573
1320	34022	223527
1321	34045	223486
1322	34066	223430
1323	34088	223375
1324	34109	223320
1325	34130	223266
1326	34152	223211
1327	34175	223167
1328	34197	223119
1329	34221	223086
1330	34252	223090
1331	34275	223047
1332	34296	222992
1333	34318	222941
1334	34341	222895
1335	34363	222848
1336	34387	222813
1337	34425	222864
1338	34450	222836
1339	34479	222828
1340	34504	222799
1341	34527	222756
1342	34549	222708
1343	34573	222670
1344	34596	222624
1345	34617	222572
1346	34646	222568
1347	34668	222518
1348	34691	222470
1349	34714	222430
1350	34736	222377
1351	34757	222324
1352	34779	222276
1353	34802	222234
1354	34825	222187
1355	34846	222135
1356	34869	222091
1357	34891	222042
1358	34912	221983
1359	34933	221933
1360	34970	221978
1361	34994	221940
1362	35017	221898
1363	35040	221854
1364	35063	221812
1365	35087	221773
1366	35110	221733
1367	35133	221688
1368	35155	221643
1369	35179	221603
1370	35201	221557
1371	35223	221507
1372	35246	221464
1373	35268	221418
1374	35291	221374
1375	35315	221340
1376	35337	221289
1377	35360	221244
1378	35383	221201
1379	35405	221158
1380	35427	221107
1381	35449	221061
1382	35482	221079
1383	35507	221048
1384	35535	221036
1385	35556	220982
1386	35578	220932
1387	35602	220899
1388	35627	220872
1389	35649	220820
1390	35672	220778
1391	35694	220732
1392	35716	220686
1393	35739	220643
1394	35761	220595
1395	35785	220557
1396	35807	220508
1397	35828	220457
1398	35851	220412
1399	35874	220369
1400	35898	220336
1401	35920	220289
1402	35948	220280
1403	35970	220229
1404	35993	220188
1405	36018	220158
1406	36042	220124
1407	36073	220133
1408	36107	220153
1409	36130	220112
1410	36152	220066
1411	36179	220049
1412	36202	220007
1413	36224	219959
1414	36246	219914
1415	36269	219872
1416	36292	219828
1417	36314	219779
1418	36336	219732
1419	36358	219684
1420	36381	219647
1421	36410	219640
1422	36439	219638
1423	36463	219602
1424	36488	219569
1425	36511	219532
1426	36534	219486
1427	36557	219447
1428	36581	219411
1429	36604	219371
1430	36627	219331
1431	36649	219285
1432	36672	219239
1433	36699	219223
1434	36723	219187
1435	36746	219146
1436	36770	219111
1437	36792	219067
1438	36815	219027
1439	36839	218987
1440	36869	218989
1441	36891	218945
1442	36917	218919
1443	36941	218883
1444	36962	218833
1445	36984	218785
1446	37012	218775
1447	37035	218735
1448	37066	218741
1449	37088	218695
1450	37113	218664
1451	37138	218634
1452	37162	218599
1453	37185	218561
1454	37208	218522
1455	37231	218480
1456	37254	218439
1457	37277	218400
1458	37300	218356
1459	37324	218320
1460	37347	218282
1461	37371	218245
1462	37393	218199
1463	37416	218161
1464	37439	218123
1465	37464	218093
1466	37489	218064
1467	37512	218023
1468	37534	217975
1469	37557	217934
1470	37580	217896
1471	37603	217854
1472	37626	217812
1473	37650	217777
1474	37672	217734
1475	37696	217699
1476	37717	217650
1477	37741	217611
1478	37765	217576
1479	37794	217572
1480	37816	217529
1481	37839	217488
1482	37863	217451
1483	37887	217416
1484	37910	217378
1485	37934	217342
1486	37958	217311
1487	37983	217284
1488	38013	217279
1489	38036	217242
1490	38060	217205
1491	38083	217168
1492	38105	217122
1493	38128	217083
1494	38151	217041
1495	38173	216998
1496	38197	216965
1497	38221	216929
1498	38244	216887
1499	38267	216851
1500	38291	216814
1501	38316	216786
1502	38343	216769
1503	38374	216776
1504	38403	216769
1505	38427	216737
1506	38452	216706
1507	38479	216689
1508	38502	216648
1509	38531	216646
1510	38555	216612
1511	38579	216576
1512	38602	216538
1513	38625	216497
1514	38647	216452
1515	38670	216414
1516	38694	216377
1517	38716	216334
1518	38739	216291
1519	38761	216250
1520	38785	216212
1521	38807	216168
1522	38828	216119
1523	38850	216072
1524	38872	216030
1525	38896	215994
1526	38920	215959
1527	38943	215920
1528	38968	215892
1529	38991	215853
1530	39014	215817
1531	39038	215782
1532	39060	215735
1533	39081	215688
1534	39103	215641
1535	39125	215599
1536	39148	215560
1537	39172	215526
1538	39195	215483
1539	39218	215446
1540	39242	215411
1541	39265	215372
1542	39288	215333
1543	39310	215292
1544	39333	215250
1545	39362	215246
1546	39385	215207
1547	39408	215168
1548	39432	215135
1549	39456	215101
1550	39482	215077
1551	39506	215043
1552	39530	215013
1553	39553	214974
1554	39576	214933
1555	39600	214898
1556	39622	214856
1557	39644	214810
1558	39673	214805
1559	39703	214807
1560	39733	214807
1561	39756	214768
1562	39779	214730
1563	39803	214692
1564	39827	214659
1565	39850	214620
1566	39879	214613
1567	39902	214576
1568	39925	214537
1569	39955	214539
1570	39979	214504
1571	40002	214465
1572	40024	214424
1573	40048	214388
1574	40071	214348
1575	40094	214314
1576	40117	214273
1577	40141	214241
1578	40163	214198
1579	40187	214164
1580	40210	214128
1581	40234	214091
1582	40257	214053
1583	40280	214017
1584	40304	213981
1585	40328	213949
1586	40350	213908
1587	40374	213871
1588	40398	213839
1589	40421	213804
1590	40445	213769
1591	40469	213735
1592	40491	213694
1593	40512	213645
1594	40534	213602
1595	40558	213566
1596	40581	213529
1597	40605	213493
1598	40626	213450
1599	40650	213414
1600	40672	213373
1601	40695	213333
1602	40718	213295
1603	40741	213260
1604	40765	213224
1605	40788	213186
1606	40811	213146
1607	40834	213111
1608	40859	213081
1609	40882	213047
1610	40904	213003
1611	40926	212957
1612	40948	212917
1613	40972	212884
1614	40995	212847
1615	41020	212819
1616	41043	212779
1617	41065	212738
1618	41088	212702
1619	41111	212661
1620	41141	212663
1621	41165	212628
1622	41189	212596
1623	41217	212583
1624	41239	212541
1625	41262	212504
1626	41286	212472
1627	41308	212431
1628	41332	212397
1629	41355	212360
1630	41379	212327
1631	41402	212291
1632	41426	212254
1633	41448	212215
1634	41472	212183
1635	41497	212152
1636	41519	212110
1637	41541	212068
1638	41563	212024
1639	41586	211990
1640	41608	211948
1641	41631	211910
1642	41652	211864
1643	41676	211828
1644	41699	211791
1645	41721	211752
1646	41745	211717
1647	41769	211685
1648	41794	211657
1649	41817	211622
1650	41840	211586
1651	41862	211544
1652	41885	211505
1653	41908	211467
1654	41930	211427
1655	41954	211393
